inst#,    actual, predicted, error, probability distribution
   674          ?        1:0      +  *0.999  0.001
   675          ?        2:1      +   0.193 *0.807
   676          ?        1:0      +  *0.999  0.001
   677          ?        2:1      +   0.193 *0.807
   678          ?        1:0      +  *0.999  0.001
   679          ?        1:0      +  *0.999  0.001
   680          ?        1:0      +  *0.999  0.001
   681          ?        2:1      +   0.118 *0.882
   682          ?        2:1      +   0.118 *0.882
   683          ?        2:1      +   0.193 *0.807
   684          ?        2:1      +   0.193 *0.807
   685          ?        1:0      +  *0.999  0.001
   686          ?        1:0      +  *1      0    
   687          ?        2:1      +   0.193 *0.807
   688          ?        2:1      +   0.193 *0.807
   689          ?        2:1      +   0.193 *0.807
   690          ?        2:1      +   0.193 *0.807
   691          ?        2:1      +   0.193 *0.807
   692          ?        1:0      +  *0.999  0.001
   693          ?        2:1      +   0.193 *0.807
   694          ?        2:1      +   0.193 *0.807
   695          ?        2:1      +   0.193 *0.807
   696          ?        2:1      +   0.193 *0.807
   697          ?        2:1      +   0.118 *0.882
   698          ?        2:1      +   0.193 *0.807
   699          ?        2:1      +   0.118 *0.882
   700          ?        2:1      +   0.118 *0.882
   701          ?        1:0      +  *0.999  0.001
   702          ?        2:1      +   0.118 *0.882
   703          ?        1:0      +  *0.999  0.001
   704          ?        1:0      +  *1      0    
   705          ?        2:1      +   0.193 *0.807
   706          ?        1:0      +  *0.955  0.045
   707          ?        2:1      +   0.193 *0.807
   708          ?        2:1      +   0.193 *0.807
   709          ?        1:0      +  *0.999  0.001
   710          ?        2:1      +   0.118 *0.882
   711          ?        2:1      +   0.193 *0.807
   712          ?        2:1      +   0.193 *0.807
   713          ?        1:0      +  *0.999  0.001
   714          ?        1:0      +  *0.999  0.001
   715          ?        1:0      +  *0.999  0.001
   716          ?        2:1      +   0.193 *0.807
   717          ?        1:0      +  *0.999  0.001
   718          ?        2:1      +   0.193 *0.807
   719          ?        2:1      +   0.193 *0.807
   720          ?        1:0      +  *0.999  0.001
   721          ?        1:0      +  *0.999  0.001
   722          ?        2:1      +   0.118 *0.882
   723          ?        2:1      +   0.118 *0.882
   724          ?        1:0      +  *0.999  0.001
   725          ?        2:1      +   0.193 *0.807
   726          ?        2:1      +   0.193 *0.807
   727          ?        1:0      +  *0.999  0.001
   728          ?        1:0      +  *1      0    
   729          ?        1:0      +  *0.999  0.001
   730          ?        2:1      +   0.193 *0.807
   731          ?        1:0      +  *1      0    
   732          ?        1:0      +  *0.999  0.001
   733          ?        1:0      +  *1      0    
   734          ?        2:1      +   0.118 *0.882
   735          ?        1:0      +  *0.999  0.001
   736          ?        1:0      +  *0.999  0.001
   737          ?        2:1      +   0.193 *0.807
   738          ?        1:0      +  *0.999  0.001
   739          ?        2:1      +   0.193 *0.807
   740          ?        2:1      +   0.193 *0.807
   741          ?        2:1      +   0.193 *0.807
   742          ?        2:1      +   0.193 *0.807
   743          ?        1:0      +  *0.999  0.001
   744          ?        1:0      +  *1      0    
   745          ?        1:0      +  *0.999  0.001
   746          ?        1:0      +  *0.999  0.001
   747          ?        2:1      +   0.193 *0.807
   748          ?        2:1      +   0.193 *0.807
   749          ?        2:1      +   0.193 *0.807
   750          ?        2:1      +   0.118 *0.882
   751          ?        2:1      +   0.193 *0.807
   752          ?        1:0      +  *1      0    
   753          ?        2:1      +   0.118 *0.882
   754          ?        2:1      +   0.193 *0.807
   755          ?        2:1      +   0.118 *0.882
   756          ?        1:0      +  *1      0    
   757          ?        1:0      +  *0.999  0.001
   758          ?        2:1      +   0.193 *0.807
   759          ?        2:1      +   0.118 *0.882
   760          ?        2:1      +   0.193 *0.807
   761          ?        2:1      +   0.193 *0.807
   762          ?        1:0      +  *1      0    
   763          ?        1:0      +  *0.999  0.001
   764          ?        2:1      +   0.118 *0.882
   765          ?        2:1      +   0.193 *0.807
   766          ?        1:0      +  *1      0    
   767          ?        2:1      +   0.193 *0.807
   768          ?        1:0      +  *0.999  0.001
   769          ?        1:0      +  *0.999  0.001
   770          ?        2:1      +   0.193 *0.807
   771          ?        1:0      +  *0.999  0.001
   772          ?        2:1      +   0.118 *0.882
   773          ?        2:1      +   0.118 *0.882
   774          ?        2:1      +   0.193 *0.807
   775          ?        2:1      +   0.193 *0.807
   776          ?        2:1      +   0.193 *0.807
   777          ?        2:1      +   0.118 *0.882
   778          ?        1:0      +  *0.999  0.001
   779          ?        2:1      +   0.118 *0.882
   780          ?        2:1      +   0.193 *0.807
   781          ?        2:1      +   0.118 *0.882
   782          ?        1:0      +  *0.999  0.001
   783          ?        1:0      +  *1      0    
   784          ?        2:1      +   0.118 *0.882
   785          ?        2:1      +   0.193 *0.807
   786          ?        1:0      +  *0.999  0.001
   787          ?        2:1      +   0.193 *0.807
   788          ?        1:0      +  *0.999  0.001
   789          ?        1:0      +  *0.999  0.001
   790          ?        2:1      +   0.193 *0.807
   791          ?        1:0      +  *1      0    
   792          ?        2:1      +   0.118 *0.882
   793          ?        2:1      +   0.193 *0.807
   794          ?        2:1      +   0.193 *0.807
   795          ?        1:0      +  *0.999  0.001
   796          ?        1:0      +  *0.999  0.001
   797          ?        2:1      +   0.118 *0.882
   798          ?        2:1      +   0.118 *0.882
   799          ?        1:0      +  *1      0    
   800          ?        2:1      +   0.193 *0.807
   801          ?        2:1      +   0.193 *0.807
   802          ?        1:0      +  *1      0    
   803          ?        2:1      +   0.193 *0.807
   804          ?        2:1      +   0.193 *0.807
   805          ?        2:1      +   0.193 *0.807
   806          ?        2:1      +   0.193 *0.807
   807          ?        1:0      +  *0.999  0.001
   808          ?        2:1      +   0.193 *0.807
   809          ?        1:0      +  *1      0    
   810          ?        2:1      +   0.193 *0.807
   811          ?        1:0      +  *1      0    
   812          ?        2:1      +   0.118 *0.882
   813          ?        2:1      +   0.193 *0.807
   814          ?        2:1      +   0.118 *0.882
   815          ?        1:0      +  *0.999  0.001
   816          ?        2:1      +   0.193 *0.807
   817          ?        1:0      +  *0.923  0.077
   818          ?        2:1      +   0.193 *0.807
   819          ?        2:1      +   0.193 *0.807
   820          ?        2:1      +   0.118 *0.882
   821          ?        2:1      +   0.193 *0.807
   822          ?        2:1      +   0.118 *0.882
   823          ?        2:1      +   0.118 *0.882
   824          ?        1:0      +  *0.999  0.001
   825          ?        1:0      +  *0.999  0.001
   826          ?        2:1      +   0.193 *0.807
   827          ?        2:1      +   0.118 *0.882
   828          ?        1:0      +  *0.999  0.001
   829          ?        1:0      +  *0.999  0.001
   830          ?        2:1      +   0.118 *0.882
   831          ?        2:1      +   0.193 *0.807
   832          ?        2:1      +   0.193 *0.807
   833          ?        1:0      +  *0.999  0.001
   834          ?        1:0      +  *0.999  0.001
   835          ?        2:1      +   0.193 *0.807
   836          ?        2:1      +   0.118 *0.882
   837          ?        2:1      +   0.193 *0.807
   838          ?        2:1      +   0.118 *0.882
   839          ?        1:0      +  *1      0    
   840          ?        1:0      +  *0.999  0.001
   841          ?        1:0      +  *0.999  0.001
   842          ?        2:1      +   0.193 *0.807
   843          ?        2:1      +   0.193 *0.807
   844          ?        2:1      +   0.118 *0.882
   845          ?        1:0      +  *0.999  0.001
   846          ?        1:0      +  *1      0    
   847          ?        2:1      +   0.193 *0.807
   848          ?        1:0      +  *0.999  0.001
   849          ?        1:0      +  *1      0    
   850          ?        2:1      +   0.118 *0.882
   851          ?        2:1      +   0.193 *0.807
   852          ?        2:1      +   0.118 *0.882
   853          ?        2:1      +   0.193 *0.807
   854          ?        1:0      +  *0.999  0.001
   855          ?        2:1      +   0.118 *0.882
   856          ?        2:1      +   0.193 *0.807
   857          ?        2:1      +   0.118 *0.882
   858          ?        2:1      +   0.193 *0.807
   859          ?        1:0      +  *1      0    
   860          ?        2:1      +   0.193 *0.807
   861          ?        1:0      +  *0.999  0.001
   862          ?        2:1      +   0.193 *0.807
   863          ?        1:0      +  *0.999  0.001
   864          ?        1:0      +  *1      0    
   865          ?        1:0      +  *0.999  0.001
   866          ?        2:1      +   0.193 *0.807
   867          ?        2:1      +   0.118 *0.882
   868          ?        2:1      +   0.193 *0.807
   869          ?        2:1      +   0.193 *0.807
   870          ?        1:0      +  *0.999  0.001
   871          ?        2:1      +   0.193 *0.807
   872          ?        2:1      +   0.193 *0.807
   873          ?        1:0      +  *0.955  0.045
   874          ?        2:1      +   0.193 *0.807
   875          ?        2:1      +   0.118 *0.882
   876          ?        2:1      +   0.118 *0.882
   877          ?        2:1      +   0.193 *0.807
   878          ?        2:1      +   0.118 *0.882
   879          ?        1:0      +  *0.999  0.001
   880          ?        2:1      +   0.193 *0.807
   881          ?        2:1      +   0.193 *0.807
   882          ?        2:1      +   0.193 *0.807
